TIMESTAMP,FORECAST
20131101 1:00,0.33683098255191535
20131101 2:00,0.34467543275368495
20131101 3:00,0.34566250671390275
20131101 4:00,0.33759298584374786
20131101 5:00,0.35710350594276097
20131101 6:00,0.3609884058809607
20131101 7:00,0.3078485300648284
20131101 8:00,0.14161527114364247
20131101 9:00,0.05709460941269562
20131101 10:00,0.008049508074837064
20131101 11:00,0.010419519624705442
20131101 12:00,0.007622586365424677
20131101 13:00,0.007949171913242292
20131101 14:00,0.008538504278254866
20131101 15:00,0.010332748508146028
20131101 16:00,0.0075352930348762115
20131101 17:00,0.008877934023739265
20131101 18:00,0.013937268133012992
20131101 19:00,0.008160245434324143
20131101 20:00,0.010407094627853164
20131101 21:00,0.01019388074176053
20131101 22:00,0.00967381291644731
20131101 23:00,0.037285170757641595
20131102 0:00,0.1028989231411721
20131102 1:00,0.4366969072204414
20131102 2:00,0.5043172450562459
20131102 3:00,0.5993288807936112
20131102 4:00,0.7084150524906039
20131102 5:00,0.7497807883061878
20131102 6:00,0.6835973116572132
20131102 7:00,0.5932498026235828
20131102 8:00,0.5537833702782402
20131102 9:00,0.5580219275754459
20131102 10:00,0.48671219619037664
20131102 11:00,0.4182612777333601
20131102 12:00,0.3044598921674835
20131102 13:00,0.4936530782820876
20131102 14:00,0.6383162697235347
20131102 15:00,0.2888078933456031
20131102 16:00,0.36225181758642666
20131102 17:00,0.5083962641134985
20131102 18:00,0.585373031625644
20131102 19:00,0.49872370858310333
20131102 20:00,0.39620954829449584
20131102 21:00,0.45327757003015545
20131102 22:00,0.5631685975567509
20131102 23:00,0.5512262624264102
20131103 0:00,0.5361940843183284
20131103 1:00,0.4580668182452454
20131103 2:00,0.4715472139015171
20131103 3:00,0.6650132945623564
20131103 4:00,0.7136186812103831
20131103 5:00,0.6819477236816192
20131103 6:00,0.6803056596064123
20131103 7:00,0.6757982565010496
20131103 8:00,0.6695213333779435
20131103 9:00,0.5742394000637105
20131103 10:00,0.47639415580834577
20131103 11:00,0.3867176993579582
20131103 12:00,0.5827927751744255
20131103 13:00,0.6050109627973059
20131103 14:00,0.6633360480394446
20131103 15:00,0.7426214003592593
20131103 16:00,0.796433423750815
20131103 17:00,0.8290451185024095
20131103 18:00,0.8524585740360704
20131103 19:00,0.8672283581667758
20131103 20:00,0.882715250157197
20131103 21:00,0.9039354401907471
20131103 22:00,0.9203475958243721
20131103 23:00,0.9057713827560763
20131104 0:00,0.8311322568475583
20131104 1:00,0.7739606020208716
20131104 2:00,0.6496024587159566
20131104 3:00,0.5453344324895575
20131104 4:00,0.4404311109209855
20131104 5:00,0.3880361049892196
20131104 6:00,0.37616402299529117
20131104 7:00,0.37877633165809765
20131104 8:00,0.3991167465292138
20131104 9:00,0.2524542865041637
20131104 10:00,0.3123800998467905
20131104 11:00,0.40836840056937884
20131104 12:00,0.4675353960560811
20131104 13:00,0.5108444279035664
20131104 14:00,0.5525477803183785
20131104 15:00,0.5848909051907407
20131104 16:00,0.6404175788564341
20131104 17:00,0.6915944710257951
20131104 18:00,0.6757644248590973
20131104 19:00,0.6348594581754368
20131104 20:00,0.6080755350016123
20131104 21:00,0.716476310538984
20131104 22:00,0.8013450324390297
20131104 23:00,0.8220367620087428
20131105 0:00,0.7023116537678322
20131105 1:00,0.44339410702184257
20131105 2:00,0.30082400918252983
20131105 3:00,0.1860739817351691
20131105 4:00,0.10665320525483057
20131105 5:00,0.05648561447207534
20131105 6:00,0.02019539837633788
20131105 7:00,0.013409073658857462
20131105 8:00,0.06517754852273594
20131105 9:00,0.17566018039390752
20131105 10:00,0.2958379956537103
20131105 11:00,0.2860616469877142
20131105 12:00,0.274451362515614
20131105 13:00,0.28259492561851207
20131105 14:00,0.2895481291352313
20131105 15:00,0.2912260759312142
20131105 16:00,0.26178044353988295
20131105 17:00,0.2422614629808928
20131105 18:00,0.25868912378230124
20131105 19:00,0.2844303614409709
